BILL_TO_CUSTOMER_ID,ORG_ID,CUSTOMER_TRX_ID,CUSTOMER_NAME,CUSTOMER_NUMBER,INVOICE_NUMBER,INVOICE_DATE,GL_DATE,INV_TYPE,POSTABLE,TYPE,DOCUMENT_NUMBER,REVENUE_ACCOUNT,REV_ACCT_DESCRIPTION,SALES_PERSON,ORDER_NUMBER,ORDER_TYPE,SHIP_TO_LOCATION,CITY,STATE,COUNTRY,WAREHOUSE_CODE,WAREHOUSE_NAME,SKU,SKU_DESCRIPTION,PRODUCT_FAMILY,PRODUCT_FAMILY_DESC,CATEGORY1,CATEGORY2,CATEGORY3,ORDERED_QUANTITY,UOM_CODE,ENTERED_CURRENCY,ENTERED_AMOUNT,TAX_AMOUNT,EQUIVILANT_KG,FUNCTIONAL_AMOUNT,SKU_CGS,TOTAL_SKU_CGS,ORGANIZATION_ID,SKU_CGS_TP1
355317,1012,5738957,Johnson & Johnson,8141,612510600,9/30/2024 0:00,9/30/2024 0:00,Invoice,P,DKFZE Invoice,612510600,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010107,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Anti-Foam Compound Grade 019,301129,SB-1558,Finished Goods,Process,Fuel Additives,1800,KG,INR,3960,0,1800,3960,2,2968,,2968
355317,1012,5738957,Johnson & Johnson,8141,612510600,9/30/2024 0:00,9/30/2024 0:00,Invoice,P,DKFZE Invoice,612510600,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010107,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Aromatic Solvent Blend Grade 125,301129,SB-1558,Finished Goods,Process,Fuel Additives,1800,KG,INR,3960,0,1800,3960,2,2968,,2968
355317,1012,5738955,Johnson & Johnson,8141,612510598,9/30/2024 0:00,9/30/2024 0:00,Invoice,P,DKFZE Invoice,612510598,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010105,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Anti-Foam Compound Grade 019,301129,SB-1558,Finished Goods,Process,Fuel Additives,43200,KG,INR,86400,0,43200,86400,2,71221,,71221
355317,1012,5738955,Johnson & Johnson,8141,612510598,9/30/2024 0:00,9/30/2024 0:00,Invoice,P,DKFZE Invoice,612510598,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010105,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Aromatic Solvent Blend Grade 125,301129,SB-1558,Finished Goods,Process,Fuel Additives,43200,KG,INR,86400,0,43200,86400,2,71221,,71221
355317,1012,5730943,Johnson & Johnson,8141,612510585,9/26/2024 0:00,9/26/2024 0:00,Invoice,P,DKFZE Invoice,612510585,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010104,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Anti-Foam Compound Grade 019,301129,SB-1558,Finished Goods,Process,Fuel Additives,18000,KG,INR,39600,0,18000,39600,2,29675,,29675
355317,1012,5730943,Johnson & Johnson,8141,612510585,9/26/2024 0:00,9/26/2024 0:00,Invoice,P,DKFZE Invoice,612510585,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010104,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Aromatic Solvent Blend Grade 125,301129,SB-1558,Finished Goods,Process,Fuel Additives,18000,KG,INR,39600,0,18000,39600,2,29675,,29675
355317,1012,5730941,Johnson & Johnson,8141,612510583,9/26/2024 0:00,9/26/2024 0:00,Invoice,P,DKFZE Invoice,612510583,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010102,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Anti-Foam Compound Grade 019,301129,SB-1558,Finished Goods,Process,Fuel Additives,5400,KG,INR,11880,0,5400,11880,2,8903,,8903
355317,1012,5730941,Johnson & Johnson,8141,612510583,9/26/2024 0:00,9/26/2024 0:00,Invoice,P,DKFZE Invoice,612510583,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Oman FA,6125010102,DKFZE Standard SO,21292,,,Oman,604,Oryx Warehouse,301129-200900,Aromatic Solvent Blend Grade 125,301129,SB-1558,Finished Goods,Process,Fuel Additives,5400,KG,INR,11880,0,5400,11880,2,8903,,8903
400201,1012,5732928,Roche,9047,612510588,9/26/2024 0:00,9/26/2024 0:00,Invoice,P,DKFZE Invoice,612510588,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Cargo FA,6125070073,DKFZE Cargo Treatment SO,40882,,,Oman,604,Oryx Warehouse,302771-220175,Fuel System Cleaner Grade 024,302771,RW- 1711,Finished Goods,Process,Fuel Additives,700,KG,INR,2247,0,700,2247,2,1331,,1331
400201,1012,5732928,Roche,9047,612510588,9/26/2024 0:00,9/26/2024 0:00,Invoice,P,DKFZE Invoice,612510588,61.511201.0000.0000.000.000.00.0000.000,DA Chemicals FZE.DOMESTIC SALES - PRODUCT.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified.Unspecified,Cargo FA,6125070073,DKFZE Cargo Treatment SO,40882,,,Oman,604,Oryx Warehouse,302771-220175,Fuel System Cleaner Grade 024,302771,RW- 1711,Finished Goods,Process,Fuel Additives,1050,KG,INR,3371,0,1050,3371,2,1997,,1997
